client_id,Delinquent90
75000,0.06284224250325945
75001,0.5818181818181818
75002,0.01082464081873647
75003,0.040028213718920826
75004,0.01082464081873647
75005,0.021171366594360086
75006,0.01082464081873647
75007,0.01082464081873647
75008,0.040028213718920826
75009,0.0631163708086785
75010,0.2708333333333333
75011,0.040028213718920826
75012,0.06284224250325945
75013,0.021171366594360086
75014,0.3684210526315789
75015,0.6086956521739131
75016,0.10039695666556402
75017,0.01082464081873647
75018,0.01082464081873647
75019,0.12369942196531791
75020,0.021171366594360086
75021,0.0631163708086785
75022,0.10039695666556402
75023,0.01082464081873647
75024,0.10039695666556402
75025,0.1891891891891892
75026,0.021171366594360086
75027,0.01082464081873647
75028,0.021171366594360086
75029,0.01082464081873647
75030,0.040028213718920826
75031,0.01082464081873647
75032,0.10039695666556402
75033,0.12369942196531791
75034,0.01082464081873647
75035,0.01082464081873647
75036,0.01082464081873647
75037,0.021171366594360086
75038,0.01082464081873647
75039,0.10039695666556402
75040,0.01082464081873647
75041,0.021171366594360086
75042,0.01082464081873647
75043,0.01082464081873647
75044,0.040028213718920826
75045,0.06284224250325945
75046,0.01082464081873647
75047,0.01082464081873647
75048,0.24106400665004157
75049,0.09642301710730948
75050,0.01082464081873647
75051,0.01082464081873647
75052,0.4214046822742475
75053,0.01082464081873647
75054,0.06284224250325945
75055,0.01082464081873647
75056,0.03592375366568915
75057,0.1400329489291598
75058,0.03592375366568915
75059,0.12369942196531791
75060,0.20934959349593496
75061,0.01082464081873647
75062,0.10039695666556402
75063,0.01082464081873647
75064,0.06284224250325945
75065,0.021171366594360086
75066,0.01082464081873647
75067,0.040028213718920826
75068,0.040028213718920826
75069,0.040028213718920826
75070,0.021171366594360086
75071,0.021171366594360086
75072,0.040028213718920826
75073,0.0631163708086785
75074,0.09758602978941962
75075,0.021171366594360086
75076,0.01082464081873647
75077,0.24106400665004157
75078,0.13636363636363635
75079,0.01082464081873647
75080,0.06284224250325945
75081,0.10039695666556402
75082,0.01082464081873647
75083,0.040028213718920826
75084,0.01082464081873647
75085,0.01082464081873647
75086,0.06284224250325945
75087,0.01082464081873647
75088,0.021171366594360086
